path,format,decision,reason,before_sha256,after_sha256
AGENTS.md,.md,updated,Ensure future sessions retain user hypothesis and analysis workflow,b5f01b850611b79fdf12dd07e68b23db254b77f9e436a53a9a9854bb44e48ee3,19be01518333df55308d497754441a36bb426f67e94c55a237d79450f724fd1e
README.md,.md,updated,Expose user hypothesis and reusable analysis entry points,7c3c01e5aff3a568a3abec3fa8fa52de12dd567f7e63847f522871cb2d969b8c,bdb15863b22677be425c5ef581bffbfe8cf43ca7dd24ed99ebdf889ba14a0bc4
code/README.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,83b083f99a232a9b233210f5f568107d47a18f05a7d5da22ccc25071a4157150,83b083f99a232a9b233210f5f568107d47a18f05a7d5da22ccc25071a4157150
code/trush_box/README.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,759c7b036a65ae3b2e3d4d3500df3a5ec27e3551d7bf1c9645418d6378109e43,759c7b036a65ae3b2e3d4d3500df3a5ec27e3551d7bf1c9645418d6378109e43
configs/README.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,078379326e4dde768710e811d31468f909e0e5b480a701ec95c874371ecff593,078379326e4dde768710e811d31468f909e0e5b480a701ec95c874371ecff593
docs/audits/2026-09-15_workspace_review/README.md,.md,updated,Point prior inventory to the later comprehensive text audit,08e5ea3f5f234534dec338bf8ebde06d4a7dbff20625bc8e526552393fcfdb72,45ee953308e399082c252d0a6c47dd4dd365549c4f1951a49a041dc9a20671c8
docs/code_map.md,.md,updated,Link current analysis scripts and explain model-dependent diagnostics,c43b484d56356d805a096d152b46fdc8950f90c9b6320f335e813f74517812db,3cb0f7fc378932530ff5247052aa01451b0f77d78cc34e35b0c863eb4d8fa2ae
docs/data_inventory.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,6761213d8b0b18ee0f78d560297389e38d1021c47125ab4ca13d6f3a1aca2e16,6761213d8b0b18ee0f78d560297389e38d1021c47125ab4ca13d6f3a1aca2e16
docs/document_index.md,.md,updated,"Update active draft pointers, successor evidence and full catalog",3409579bbe3d8f1239499b4dc370726267a3d51fff3328e6256389edef4a2875,145aecacb9a12ebb790f966dce9449d05bd7d262716361276e2628315a46e21d
docs/experiment_result_naming.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,c26065f798dc17c6fb12921dbda5eaf0497cfefb5162e5e0544811e734692d3d,c26065f798dc17c6fb12921dbda5eaf0497cfefb5162e5e0544811e734692d3d
docs/naming_rules.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,0e88e1782683af97f9f33f32ad8700a33b24548de7c74e9503642aba06e68292,0e88e1782683af97f9f33f32ad8700a33b24548de7c74e9503642aba06e68292
docs/notes/data_notes.md,.md,updated,Correct display spacing versus physical resolution and connect band-SNR evidence,5583b2a34b026d3cb003db503ca9b7e3b4fc999a2e588ddebdb05336ca40416b,0fdd9d5724c54a701022d048c93adfaa51a57c328a65e740cdd785168962dc42
docs/notes/experiment_log.md,.md,updated,Point to latest completed evidence instead of September 14 only,b9b8e537aac8e43a48f029587fe438fbdb0b5a93864d78a0687c300a1d8e9990,fd6bd0c2f3c7bfc8a514707872f2439b0cc0f4c3b21c7e770e201229fd6622c7
docs/notes/model_notes.md,.md,updated,Make explanation targets and acceptance limits explicit,8d0d005dca024d31f8eab1ee482e58896e4f61b6e0707a99e687e3f4dfc53389,420e788205d479496232e19f53be3612320f4561ffcbb414402bc579d2e1151c
docs/progress/2026-05-21_weekly_progress.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,61b20ef3a53c54b079631ffd8e482548a9af18d26c1f1a299cdc16affc5707f0,61b20ef3a53c54b079631ffd8e482548a9af18d26c1f1a299cdc16affc5707f0
docs/progress/2026-09-18_weekly_progress_draft.md,.md,updated,Integrate completed two-band analysis and user hypothesis into the active SOAP draft,cf1fbc0bd06e5a74a9414de5d9b6dc212dd250f02266e88b615d92d368e3b0e3,194fe7c6dbf9e4890d6ceb5f993010fea9aa856a74c20ac52f08cf72388177d5
docs/progress/weekly_report_guide.md,.md,updated,"Carry user hypothesis, evidence units and updates into recurring reporting",5f07402b4eac7b800716389bca5fd66fbd2c986d32d036f51ad9bdbb30e6a78d,11d2d67f62c2a53a295ff4bfd4105b4a8c8f2246f6fd51199ec945da0de638fe
docs/progress_index.md,.md,updated,Progress index synchronized with the completed document review,e9709d348875d9683b61071500b6781e9b30b4ae5f34918407d0b864c27342c2,47757645af2c45c7f36ef56fcdf6f9dbc8e21d823f80eef361ce626a3c9b6a0b
docs/repository_management.md,.md,updated,Explain current versus historical revisions and report synchronization,3114bec4814cbca42c57d3b091115bb0063f45c209d479c8e3894bfcc0517a1f,e49d70f2cdca30ff9f34368548ee6921d1e74da7e411fecad319eaf159febac6
docs/research_context.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,e1015eac72aa3fcc146f48518f1f7262b1d00dba811c2157f5786d2c5dc92cbb,e1015eac72aa3fcc146f48518f1f7262b1d00dba811c2157f5786d2c5dc92cbb
docs/research_plan/2026-05-22_after_presentation.md,.md,retained,Retained: dated evidence/history or consistent current reference; current status is defined by research_status.md,0574aa6707c000f7a86be52e27945c0eec714923bc0aeec357c12451ca5cbdc6,0574aa6707c000f7a86be52e27945c0eec714923bc0aeec357c12451ca5cbdc6
